date,title,url,category,source,domain
2017-12-10,Nepse dips ahead of phase II elections,https://thehimalayantimes.com/business/nepse-dips-ahead-phase-ii-elections/,gdelt,gdelt,thehimalayantimes.com
2017-12-15,Nepse forms panel,https://thehimalayantimes.com/business/nepal-stock-exchange-forms-panel/,gdelt,gdelt,thehimalayantimes.com
2017-12-17,Internal wrangling weighs on investor sentiment,https://thehimalayantimes.com/business/internal-wrangling-weighs-investor-sentiment/,gdelt,gdelt,thehimalayantimes.com
2017-12-17,Nepse ends week 16.39 points lower,http://kathmandupost.ekantipur.com/news/2017-12-17/nepse-ends-week-1639-points-lower.html,gdelt,gdelt,kathmandupost.ekantipur.com
2017-12-19,NIC Asia debenture,https://thehimalayantimes.com/business/nic-asia-debenture/,gdelt,gdelt,thehimalayantimes.com
2017-12-20,Brokers willing to pay VAT if old dues waived,http://kathmandupost.ekantipur.com/news/2017-12-20/brokers-willing-to-pay-vat-if-old-dues-waived.html,gdelt,gdelt,kathmandupost.ekantipur.com
2017-12-20,"After elections , Nepal back on frontier market investor radar",http://www.atimes.com/elections-nepal-back-frontier-market-investor-radar/,gdelt,gdelt,atimes.com
2017-12-24,Share market plunges to one,https://thehimalayantimes.com/business/share-market-plunges-one-month-low/,gdelt,gdelt,thehimalayantimes.com
2017-12-24,Nepse nosedives nearly 50 points,http://kathmandupost.ekantipur.com/news/2017-12-24/nepse-nosedives-nearly-50-points.html,gdelt,gdelt,kathmandupost.ekantipur.com
2017-12-27,Nepse index at nine,https://thehimalayantimes.com/business/nepse-index-nine-month-low/,gdelt,gdelt,thehimalayantimes.com
2017-12-31,Nepse ends year down 28.6 points,http://kathmandupost.ekantipur.com/news/2017-12-31/nepse-ends-year-down-286-points.html,gdelt,gdelt,kathmandupost.ekantipur.com
2017-12-31,Secondary market ends the year in red zone,https://thehimalayantimes.com/business/secondary-market-ends-year-red-zone/,gdelt,gdelt,thehimalayantimes.com
2018-01-01,"Nepse dips below 1,400 points after nine months",https://thehimalayantimes.com/business/nepse-dips-1400-points-nine-months/,gdelt,gdelt,thehimalayantimes.com
2018-01-01,Issue IPO only after declaring financial details : SEBON,https://thehimalayantimes.com/temp/issue-ipo-declaring-financial-details-sebon/,gdelt,gdelt,thehimalayantimes.com
2018-01-02,Nepse ushers in 2018 on a buoyant note,https://thehimalayantimes.com/business/nepse-ushers-2018-buoyant-note/,gdelt,gdelt,thehimalayantimes.com
2018-01-05,THT 10 YEARS AGO : Govt looking to divest shares in three public enterprises,https://thehimalayantimes.com/opinion/tht-10-years-ago-govt-looking-divest-shares-three-public-enterprises/,gdelt,gdelt,thehimalayantimes.com
2018-01-07,Nepse kicks off 2018 with 9.05pt gain,http://kathmandupost.ekantipur.com/news/2018-01-07/nepse-kicks-off-2018-with-905pt-gain.html,gdelt,gdelt,kathmandupost.ekantipur.com
2018-01-07,Benchmark index snaps four,https://thehimalayantimes.com/business/benchmark-index-snaps-four-week-losing-streak/,gdelt,gdelt,thehimalayantimes.com
2018-01-10,NIC Asia debenture,https://thehimalayantimes.com/business/nic-asia-debenture-2/,gdelt,gdelt,thehimalayantimes.com
2018-01-10,Kathmandu [ nepal,https://wn.com/Kathmandu_[Nepal,gdelt,gdelt,wn.com
2018-01-14,Insurance subgroup leads market rally,https://thehimalayantimes.com/business/insurance-subgroup-leads-market-rally/,gdelt,gdelt,thehimalayantimes.com
2018-01-15,"SEBON seeks annual , financial reports",https://thehimalayantimes.com/business/sebon-seeks-annual-financial-reports/,gdelt,gdelt,thehimalayantimes.com
2018-01-15,UK company applies to open first commodity exchange - Money,http://kathmandupost.ekantipur.com/news/2018-01-15/uk-company-applies-to-open-first-commodity-exchange.html,gdelt,gdelt,kathmandupost.ekantipur.com
2018-01-15,Rally organised in Capital to observe National Yoga Day,https://article.wn.com/view/2018/01/15/Rally_organised_in_Capital_to_observe_National_Yoga_Day/,gdelt,gdelt,article.wn.com
2018-01-21,Nepse index down by 33.77 points,https://thehimalayantimes.com/business/nepse-index-33-77-points/,gdelt,gdelt,thehimalayantimes.com
2018-01-21,Nepse posts loss of 24.58 points - Money,http://kathmandupost.ekantipur.com/news/2018-01-21/nepse-posts-loss-of-2458-points.html,gdelt,gdelt,kathmandupost.ekantipur.com
2018-01-25,SEBON seeks more time for C - ASBA,https://thehimalayantimes.com/business/sebon-seeks-time-c-asba/,gdelt,gdelt,thehimalayantimes.com
2018-01-28,Nepse index witnesses minor drop,https://thehimalayantimes.com/business/nepse-index-witnesses-minor-drop/,gdelt,gdelt,thehimalayantimes.com
2018-01-28,Nepse index posts loss of 1.99 points - Money,http://kathmandupost.ekantipur.com/news/2018-01-28/nepse-index-posts-loss-of-199-points.html,gdelt,gdelt,kathmandupost.ekantipur.com
2018-02-01,Taking stock - Nepali Times,http://nepalitimes.com/news.php?id=13804,gdelt,gdelt,nepalitimes.com
2018-02-04,"Nepse posts slight growth , up 5.57pts - Money",http://kathmandupost.ekantipur.com/news/2018-02-04/nepse-posts-slight-growth-up-557pts.html,gdelt,gdelt,kathmandupost.ekantipur.com
2018-02-04,Nepse index edges up by 0.49pc,https://thehimalayantimes.com/business/nepse-index-edges-0-49pc/,gdelt,gdelt,thehimalayantimes.com
2018-02-10,NIBL Ace Capital Starts Operation,https://www.spotlightnepal.com/2018/02/10/nibl-ace-capital-starts-operation/,gdelt,gdelt,spotlightnepal.com
2018-02-10,Share market : Transaction worth 1.55 billion rupees,http://nepalireporter.com/share-market-transaction-worth-1-55-billion-rupees/,gdelt,gdelt,nepalireporter.com
2018-02-11,Nepse at a two - and - a - half week low,https://thehimalayantimes.com/business/nepse-two-half-week-low/,gdelt,gdelt,thehimalayantimes.com
2018-02-11,Nepse ends week down 20.49 points - Money,http://kathmandupost.ekantipur.com/news/2018-02-11/nepse-ends-week-down-2049-points.html,gdelt,gdelt,kathmandupost.ekantipur.com
2018-02-15,Valley hotels net record profits in 2017 - Money,http://kathmandupost.ekantipur.com/news/2018-02-15/valley-hotels-net-record-profits-in-2017.html,gdelt,gdelt,kathmandupost.ekantipur.com
2018-02-18,Formation of new govt fuels optimism,https://thehimalayantimes.com/business/formation-of-new-govt-fuels-optimism/,gdelt,gdelt,thehimalayantimes.com
2018-02-18,"Nepse in buoyant mood , up 33.92pts - Money",http://kathmandupost.ekantipur.com/news/2018-02-18/nepse-in-buoyant-mood-up-3392pts.html,gdelt,gdelt,kathmandupost.ekantipur.com
2018-02-20,South Asia Weekly Report | Vol . XI Issue 8,http://www.orfonline.org/research/south-asia-weekly-report-vol-xi-issue-8/,gdelt,gdelt,orfonline.org
2018-02-22,Nepse to divide firms into four categories - Money,http://kathmandupost.ekantipur.com/news/2018-02-22/nepse-to-divide-firms-into-four-categories.html,gdelt,gdelt,kathmandupost.ekantipur.com
2018-02-24,C - ASBA allows investors to buy shares online - Money,http://kathmandupost.ekantipur.com/news/2018-02-24/c-asba-allows-investors-to-buy-shares-online.html,gdelt,gdelt,kathmandupost.ekantipur.com
2018-02-24,NEPSE index falls 26.92 points on weekend day today,http://nepalireporter.com/nepse-index/,gdelt,gdelt,nepalireporter.com
2018-02-25,Nepse drops 2.66pc as stock investors in wait - and - see mode,https://thehimalayantimes.com/business/nepse-drops-2-66pc-stock-investors-wait-see-mode/,gdelt,gdelt,thehimalayantimes.com
2018-02-25,"Nepse posts dire week , down 37.97pts - Money",http://kathmandupost.ekantipur.com/news/2018-02-25/nepse-posts-dire-week-down-3797pts.html,gdelt,gdelt,kathmandupost.ekantipur.com
2018-02-26,Nepali Times,http://www.nepalitimes.com/blogs/thebrief/2018/02/26/yuba-raj-khatiwadas-turn/,gdelt,gdelt,nepalitimes.com
2018-03-03,Share transaction worth Rs 2 billion this week,https://thehimalayantimes.com/business/share-transaction-worth-2-billion-rupees/,gdelt,gdelt,thehimalayantimes.com
2018-03-04,"Nepse hits 1 - year low , down 40.99pts - Money",http://kathmandupost.ekantipur.com/news/2018-03-04/nepse-hits-1-year-low-down-4099pts.html,gdelt,gdelt,kathmandupost.ekantipur.com
2018-03-04,"Nepse index plunges nearly 3pc to below 1,350 points",https://thehimalayantimes.com/business/nepse-index-plunges-nearly-3pc-1350-points/,gdelt,gdelt,thehimalayantimes.com
2018-03-05,"From the Kathmandu Press : Monday , March 5,2018 – OnlineKhabar",http://english.onlinekhabar.com/from-the-kathmandu-press-monday-march-5-2018/,gdelt,gdelt,english.onlinekhabar.com
2018-03-11,Nepse dropped over 30 points last week - Money,http://kathmandupost.ekantipur.com/news/2018-03-11/nepse-dropped-over-30-points-last-week.html,gdelt,gdelt,kathmandupost.ekantipur.com
2018-03-11,Nepse tumbles as spooked share investors resort to panic selling,https://thehimalayantimes.com/business/nepse-tumbles-spooked-share-investors-resort-panic-selling/,gdelt,gdelt,thehimalayantimes.com
2018-03-18,Nepse falls for 4th straight week - Money,http://kathmandupost.ekantipur.com/news/2018-03-18/nepse-falls-for-4th-straight-week.html,gdelt,gdelt,kathmandupost.ekantipur.com
2018-03-18,"Nepse retreats below 1,300 - point threshold",https://thehimalayantimes.com/business/nepse-retreats-below-1300-point-threshold/,gdelt,gdelt,thehimalayantimes.com
2018-03-22,NEPSE sees double digit plunge today,https://thehimalayantimes.com/business/nepse-sees-double-digit-plunge-today/,gdelt,gdelt,thehimalayantimes.com
